cat_num,Latitude,Longitude,quality,link,num_syllables,freq_range_mm,middle_syl_height_mm,duration_mm,two_khz_mm,two_sec_mm,skip_notes,group_letter,group_members,year
350558551,41.478683,-81.97718,3,https://macaulaylibrary.org/asset/350558551,31,8,,74,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350516801,41.6822544,-71.2382505,3,https://macaulaylibrary.org/asset/350516801,28,28,,105,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350512771,41.1467412,-79.4988137,4,https://macaulaylibrary.org/asset/350512771,24,22,,112,8,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350496691,38.181886,-77.517042,3,https://macaulaylibrary.org/asset/350496691,22,7,,86,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350439711,41.478746,-81.979261,3.5,https://macaulaylibrary.org/asset/350439711,15,8,,85,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350430891,41.4780938,-81.9772331,4.5,https://macaulaylibrary.org/asset/350430891,15,8,,74,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350383031,41.4700009,-73.25881,3,https://macaulaylibrary.org/asset/350383031,26,8,,120,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
350377941,41.398118,-70.704297,5,https://macaulaylibrary.org/asset/350377941,12,5,,73,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349989691,43.2666087,-76.3654238,3,https://macaulaylibrary.org/asset/349989691,12,7,,73,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349984501,44.139204,-70.487797,4,https://macaulaylibrary.org/asset/349984501,14,8,,103,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349983601,40.5926379,-91.7136423,3,https://macaulaylibrary.org/asset/349983601,9,5,,84,8,93,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349820501,39.793538,-74.275055,3,https://macaulaylibrary.org/asset/349820501,10,9,,130,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349804411,41.6349968,-70.3534057,3,https://macaulaylibrary.org/asset/349804411,12,11,,105,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349781761,36.442576,-79.795751,3,https://macaulaylibrary.org/asset/349781761,24,11,,115,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349781461,36.442576,-79.795751,3,https://macaulaylibrary.org/asset/349781461,13,8,,200,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349678691,35.8720815,-86.4342499,5,https://macaulaylibrary.org/asset/349678691,16,9,,120,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349575261,38.8949742,-92.210784,3.5,https://macaulaylibrary.org/asset/349575261,20,11,,120,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349425151,43.40066,-70.62553,3.5,https://macaulaylibrary.org/asset/349425151,12,10,,120,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349383191,44.0304348,-73.4355471,4,https://macaulaylibrary.org/asset/349383191,8,8,,,10,120,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349260191,41.7781927,-70.500555,4,https://macaulaylibrary.org/asset/349260191,13,8,,105,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349177171,44.7711808,-67.9966281,3,https://macaulaylibrary.org/asset/349177171,19,9,,95,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349158241,41.0319425,-74.7411292,3,https://macaulaylibrary.org/asset/349158241,12,6,,75,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349158251,41.0319425,-74.7411292,4,https://macaulaylibrary.org/asset/349158251,12,6,,75,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
349158231,41.0319425,-74.7411292,4,https://macaulaylibrary.org/asset/349158231,11,6.5,,70,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
348818271,43.8512527,-73.1217867,4,https://macaulaylibrary.org/asset/348818271,13,5,,130,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
348815011,32.548375,-89.934649,3,https://macaulaylibrary.org/asset/348815011,11,5,,94,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
348736341,38.1079022,-87.4288774,5,https://macaulaylibrary.org/asset/348736341,14,7,,80,9,100,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
348697811,40.2469466,-75.7919732,4,https://macaulaylibrary.org/asset/348697811,16,13,,127,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
348311121,41.7315289,-73.5626101,4.5,https://macaulaylibrary.org/asset/348311121,12,15,,137,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
348180721,39.7633333,-74.1058333,3,https://macaulaylibrary.org/asset/348180721,14,13,,80,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347539401,40.321791,-75.4144164,3,https://macaulaylibrary.org/asset/347539401,14,13,,114,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347509341,42.3483635,-76.1646831,4.5,https://macaulaylibrary.org/asset/347509341,13,11,,152,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347506751,39.9479768,-75.4458618,4,https://macaulaylibrary.org/asset/347506751,12,14,,119,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347445241,38.748396,-83.4636,3,https://macaulaylibrary.org/asset/347445241,11,7,,106,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347434931,44.5681222,-77.0958281,3,https://macaulaylibrary.org/asset/347434931,22,15,,127,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347425421,44.478032,-70.327741,4,https://macaulaylibrary.org/asset/347425421,7,13,,93,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347423411,44.353681,-70.324044,4.5,https://macaulaylibrary.org/asset/347423411,12,11,,90,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
347064881,44.899371,-86.0208678,4.5,https://macaulaylibrary.org/asset/347064881,8,12,,88,12,114,,D,"Sam, Alyssa, Fern, Kelly, April, Sophia",2023
461926531,41.6348031,-70.5607738,5,https://macaulaylibrary.org/asset/461926531,14,18,,105,11,124,,B,"Camille, Jessica ",2023
461876401,41.3099535,-88.9663839,3,https://macaulaylibrary.org/asset/461876401,14,15,,103,11,124,,B,"Camille, Jessica ",2023
461861471,35.7082085,-87.2172761,4,https://macaulaylibrary.org/asset/461861471,7,13,,93,11,124,,B,"Camille, Jessica ",2023
461762451,41.6588008,-87.922318,3,https://macaulaylibrary.org/asset/461762451,12,12,,96,11,124,,B,"Camille, Jessica ",2023
461716101,41.3637344,-71.6699166,4,https://macaulaylibrary.org/asset/461716101,12,20,,114,11,124,,B,"Camille, Jessica ",2023
461508141,39.4385815,-76.2213028,3,https://macaulaylibrary.org/asset/461508141,16,18,,122,11,124,,B,"Camille, Jessica ",2023
461326521,42.465908,-78.56396,4,https://macaulaylibrary.org/asset/461326521,13,13,,115,11,124,,B,"Camille, Jessica ",2023
461289781,38.82111,-77.54685,5,https://macaulaylibrary.org/asset/461289781,12,14,,152,11,124,,B,"Camille, Jessica ",2023
461249681,44.5434447,-70.1625123,5,https://macaulaylibrary.org/asset/461249681,16,15,,121,11,124,,B,"Camille, Jessica ",2023
461235921,36.5450197,-83.4642136,5,https://macaulaylibrary.org/asset/461235921,17,19,,142,11,124,,B,"Camille, Jessica ",2023
461094651,41.730314,-70.2350271,4,https://macaulaylibrary.org/asset/461094651,18,14,,114,11,124,,B,"Camille, Jessica ",2023
460916251,30.4112233,-95.2856983,5,https://macaulaylibrary.org/asset/460916251,5,7,,100,11,124,,B,"Camille, Jessica ",2023
460896521,42.4925576,-71.0465018,4,https://macaulaylibrary.org/asset/460896521,17,15,,175,11,124,,B,"Camille, Jessica ",2023
460842761,45.0020692,-79.9714994,4,https://macaulaylibrary.org/asset/460842761,15,17,,116,11,124,,B,"Camille, Jessica ",2023
460802791,41.8633019,-73.987365,3,https://macaulaylibrary.org/asset/460802791,13,14,,110,11,124,,B,"Camille, Jessica ",2023
460644371,40.463366,-89.788052,5,https://macaulaylibrary.org/asset/460644371,NA,NA,,NA,NA,NA,"Song unclear, overlayed with other bird songs",B,"Camille, Jessica ",2023
460542361,44.127811,-89.876929,5,https://macaulaylibrary.org/asset/460542361,11,20,,112,11,124,,B,"Camille, Jessica ",2023
460531371,40.4693518,-75.2248746,4,https://macaulaylibrary.org/asset/460531371,10,14,,101,11,124,,B,"Camille, Jessica ",2023
459596501,34.7661532,-76.9556236,3,https://macaulaylibrary.org/asset/459596501,16,15,,123,11,124,,B,"Camille, Jessica ",2023
459415651,43.2801663,-81.8125892,5,https://macaulaylibrary.org/asset/459415651,15,13,,99,11,124,,B,"Camille, Jessica ",2023
459412131,40.448641,-80.318434,3,https://macaulaylibrary.org/asset/459412131,13,12,,65,11,124,,B,"Camille, Jessica ",2023
459396691,42.4485888,-73.8923353,5,https://macaulaylibrary.org/asset/459396691,16,23,,115,11,124,,B,"Camille, Jessica ",2023
459321721,43.1340968,-85.193574,5,https://macaulaylibrary.org/asset/459321721,13,16,,107,11,124,,B,"Camille, Jessica ",2023
459252051,43.134101,-85.19332,4,https://macaulaylibrary.org/asset/459252051,14,16,,111,11,124,,B,"Camille, Jessica ",2023
459173361,43.1349828,-85.1930872,5,https://macaulaylibrary.org/asset/459173361,13,15,,111,11,124,,B,"Camille, Jessica ",2023
459126701,44.5201817,-76.2897943,3,https://macaulaylibrary.org/asset/459126701,7,11,,75,11,124,,B,"Camille, Jessica ",2023
459003421,32.763541,-94.477647,4,https://macaulaylibrary.org/asset/459003421,8,9,,149,11,124,,B,"Camille, Jessica ",2023
459003271,32.763541,-94.477647,3,https://macaulaylibrary.org/asset/459003271,8,10,,123,11,124,,B,"Camille, Jessica ",2023
458993391,41.1772327,-73.6762905,5,https://macaulaylibrary.org/asset/458993391,12,11,,92,11,124,,B,"Camille, Jessica ",2023
458933761,42.9396281,-87.8456685,3,https://macaulaylibrary.org/asset/458933761,10,9,,75,11,124,,B,"Camille, Jessica ",2023
458923271,41.7765606,-93.4040022,3,https://macaulaylibrary.org/asset/458923271,18,9,,137,11,124,,B,"Camille, Jessica ",2023
458814961,40.0957357,-75.6000137,4,https://macaulaylibrary.org/asset/458814961,11,15,,136,11,124,,B,"Camille, Jessica ",2023
458624411,44.219258,-69.94786,3,https://macaulaylibrary.org/asset/458624411,8,10,,168,11,124,,B,"Camille, Jessica ",2023
458546911,41.9968637,-72.4012631,4,https://macaulaylibrary.org/asset/458546911,14,16,,130,11,124,,B,"Camille, Jessica ",2023
458459241,43.8313207,-73.406589,4,https://macaulaylibrary.org/asset/458459241,20,15,,98,11,124,,B,"Camille, Jessica ",2023
458459091,43.842692,-73.415286,3,https://macaulaylibrary.org/asset/458459091,12,12,,104,11,124,,B,"Camille, Jessica ",2023
458453311,41.4319095,-72.2873071,3,https://macaulaylibrary.org/asset/458453311,15,13,,120,11,124,,B,"Camille, Jessica ",2023
457964911,42.4667,-87.8015,4,https://macaulaylibrary.org/asset/457964911,11,11,,101,11,124,,B,"Camille, Jessica ",2023
457959291,41.0319425,-74.7411292,5,https://macaulaylibrary.org/asset/457959291,10,15,,89,11,124,,B,"Camille, Jessica ",2023
457959261,41.0319425,-74.7411292,3,https://macaulaylibrary.org/asset/457959261,11,13,,104,11,124,,B,"Camille, Jessica ",2023
457959251,41.0319425,-74.7411292,4,https://macaulaylibrary.org/asset/457959251,9,10,,93,11,124,,B,"Camille, Jessica ",2023
457838351,42.5788068,-86.0159092,3,https://macaulaylibrary.org/asset/457838351,NA,NA,,NA,NA,NA,Sonogram not clear,B,"Camille, Jessica ",2023
457836391,41.6457021,-71.7574177,5,https://macaulaylibrary.org/asset/457836391,11,11,,128,11,124,,B,"Camille, Jessica ",2023
457836081,41.6457021,-71.7574177,3,https://macaulaylibrary.org/asset/457836081,13,14,,146,11,124,,B,"Camille, Jessica ",2023
457743571,42.326697,-85.3473759,3,https://macaulaylibrary.org/asset/457743571,11,11,,83,11,124,,B,"Camille, Jessica ",2023
457735241,42.3090019,-72.4802412,3,https://macaulaylibrary.org/asset/457735241,8,16,,82,11,124,,B,"Camille, Jessica ",2023
457634251,43.0310275,-89.4394713,3,https://macaulaylibrary.org/asset/457634251,10,10,,110,11,124,,B,"Camille, Jessica ",2023
457420071,33.1479624,-83.7534984,4,https://macaulaylibrary.org/asset/457420071,6,17,,90,11,124,,B,"Camille, Jessica ",2023
457002851,42.6066224,-78.6235191,5,https://macaulaylibrary.org/asset/457002851,NA,NA,,NA,NA,NA,Sonogram not clear,B,"Camille, Jessica ",2023
456955331,39.8151456,-79.5891023,4,https://macaulaylibrary.org/asset/456955331,10,14,,73,11,124,,B,"Camille, Jessica ",2023
346955501,40.47087,-74.5229955,3.5,https://macaulaylibrary.org/asset/346955501,13,5,,78,9,95,,E,unknown2023,2023
346755291,38.661,-90.758,4,https://macaulaylibrary.org/asset/346755291,8,4.5,,88,9,95,,E,unknown2024,2023
346726361,38.70854,-90.75994,3,https://macaulaylibrary.org/asset/346726361,11,9,,95,9,95,,E,unknown2025,2023
346677751,42.2708944,-71.2524748,4.33,https://macaulaylibrary.org/asset/346677751,11,7,,75,9,95,,E,unknown2026,2023
346548581,41.288315,-70.005137,3,https://macaulaylibrary.org/asset/346548581,15,7,,80,9,95,,E,unknown2027,2023
346446391,42.7466592,-71.7079653,4,https://macaulaylibrary.org/asset/346446391,14,9,,105,9,95,,E,unknown2028,2023
346440421,44.7258086,-86.111324,3,https://macaulaylibrary.org/asset/346440421,11,5,,58,9,95,,E,unknown2029,2023
346325651,42.0212167,-70.8722806,4,https://macaulaylibrary.org/asset/346325651,6,6,,55,9,95,,E,unknown2030,2023
345988191,44.4977733,-68.9639614,3.5,https://macaulaylibrary.org/asset/345988191,10,8,,85,9,95,,E,unknown2031,2023
345875671,44.89209,-86.0562086,3,https://macaulaylibrary.org/asset/345875671,6,4.5,,55,9,95,,E,unknown2032,2023
345809461,35.7648102,-86.2915931,4,https://macaulaylibrary.org/asset/345809461,11,5,,75,9,95,,E,unknown2033,2023
345755321,41.4319095,-72.2873071,3,https://macaulaylibrary.org/asset/345755321,8,3,,45,9,95,,E,unknown2034,2023
345745761,41.4438793,-73.8607155,3.5,https://macaulaylibrary.org/asset/345745761,13,15,,55,8.5,97,,E,unknown2035,2023
345745741,41.4438793,-73.8607155,3,https://macaulaylibrary.org/asset/345745741,9,13,,98,8.5,97,,E,unknown2036,2023
345730991,33.9183983,-88.9038724,4.5,https://macaulaylibrary.org/asset/345730991,9,3,,110,8.5,97,,E,unknown2037,2023
345673011,41.0290844,-72.1875189,3,https://macaulaylibrary.org/asset/345673011,12,20,,117,8.5,97,,E,unknown2038,2023
345660701,41.4319095,-72.2873071,4.5,https://macaulaylibrary.org/asset/345660701,13,16,,90,8.5,97,,E,unknown2039,2023
345470201,44.823,-87.315506,3.5,https://macaulaylibrary.org/asset/345470201,14,17,,84,8.5,97,,E,unknown2040,2023
345470191,44.823,-87.315506,3,https://macaulaylibrary.org/asset/345470191,17,16,,145,8.5,97,,E,unknown2041,2023
345437001,39.4178615,-77.2069788,4.5,https://macaulaylibrary.org/asset/345437001,16,17,,109,8.5,97,,E,unknown2042,2023
345408861,42.326697,-85.3473759,3,https://macaulaylibrary.org/asset/345408861,8,12,,68,8.5,97,,E,unknown2043,2023
345167731,44.5590717,-77.1170926,4,https://macaulaylibrary.org/asset/345167731,11,16,,99,8.5,97,,E,unknown2044,2023
344868191,42.3483635,-76.1646831,3,https://macaulaylibrary.org/asset/344868191,19,19,,121,8.5,97,,E,unknown2045,2023
344567481,44.823,-87.315506,3,https://macaulaylibrary.org/asset/344567481,13,19,,88,8.5,97,,E,unknown2046,2023
344498951,43.2081475,-71.4938092,3,https://macaulaylibrary.org/asset/344498951,5,5,,90,180,95,,E,unknown2047,2023
344390191,42.326697,-85.3473759,3,https://macaulaylibrary.org/asset/344390191,10,16,,48,180,95,,E,unknown2048,2023
344295491,44.138072,-70.450422,3,https://macaulaylibrary.org/asset/344295491,10,15,,90,180,95,,E,unknown2049,2023
340882871,43.25471,-81.83647,4,https://macaulaylibrary.org/asset/340882871,21,24,,150,180,95,,E,unknown2050,2023
338192851,34.9951463,-82.4032009,4,https://macaulaylibrary.org/asset/338192851,26,10,,105,180,95,,E,unknown2051,2023
321903891,42.2831722,-76.6559494,3,https://macaulaylibrary.org/asset/321903891,9,9,,76,180,95,,E,unknown2052,2023
320396811,43.508689,-91.3480461,3,https://macaulaylibrary.org/asset/320396811,13,16,,67,180,95,,E,unknown2053,2023
290696671,41.9303792,-88.4138918,4.86,https://macaulaylibrary.org/asset/290696671,18,20,,110,180,95,,E,unknown2054,2023
286857651,43.508689,-91.3480461,3.5,https://macaulaylibrary.org/asset/286857651,15,5,,90,180,95,,E,unknown2055,2023
285513361,43.028053,-89.832572,3.5,https://macaulaylibrary.org/asset/285513361,10,7,,90,180,95,,E,unknown2056,2023
278496301,42.7182439,-71.4009941,3,https://macaulaylibrary.org/asset/278496301,4,14,,80,180,95,,E,unknown2057,2023
265271841,41.6066506,-70.5907631,4,https://macaulaylibrary.org/asset/265271841,10,5,,75,180,95,,E,unknown2058,2023
265269951,41.542976,-70.62774,3,https://macaulaylibrary.org/asset/265269951,10,8,,67,180,95,,E,unknown2059,2023
258529201,41.89129,-88.22697,4,https://macaulaylibrary.org/asset/258529201,8,9,,123,190,130,,E,unknown2060,2023
256783821,41.21491,-77.294653,5,https://macaulaylibrary.org/asset/256783821,11,11,,104,190,130,,E,unknown2061,2023
251149471,42.3101677,-76.5216895,5,https://macaulaylibrary.org/asset/251149471,19,35,,116,190,130,,E,unknown2062,2023
251148521,42.3101677,-76.5216895,4,https://macaulaylibrary.org/asset/251148521,19,26,,113,190,130,,E,unknown2063,2023
251148431,42.3101677,-76.5216895,4,https://macaulaylibrary.org/asset/251148431,10,6,,155,190,130,,E,unknown2064,2023
250167351,39.709226,-78.198798,3,https://macaulaylibrary.org/asset/250167351,22,13,,150,190,130,,E,unknown2065,2023
250166961,39.709226,-78.198798,3,https://macaulaylibrary.org/asset/250166961,20,15,,157,190,130,,E,unknown2066,2023
249903401,38.1685,-77.189,3,https://macaulaylibrary.org/asset/249903401,15,6,,161,190,130,,E,unknown2067,2023
249903251,38.1685,-77.189,3,https://macaulaylibrary.org/asset/249903251,9,18,,164,190,130,,E,unknown2068,2023
249556361,43.223801,-70.6914961,3,https://macaulaylibrary.org/asset/249556361,7,9,,122,190,130,,E,unknown2069,2023
249166641,36.4876667,-87.0011862,3,https://macaulaylibrary.org/asset/249166641,13,8,,85,190,130,,E,unknown2070,2023
248803581,39.15126,-86.39579,3,https://macaulaylibrary.org/asset/248803581,7,5,,80,190,130,,E,unknown2071,2023
248643851,44.82732,-79.672107,4,https://macaulaylibrary.org/asset/248643851,11,3,,125,190,130,,E,unknown2072,2023
461926531,41.6348,-70.5608,5,https://macaulaylibrary.org/asset/461926531,,,,,,,N/A,M,Miguel,2023
461876401,41.30995,-88.9664,3,https://macaulaylibrary.org/asset/461876401,,,,,,,N/A,M,Miguel,2023
461861471,35.70821,-87.2173,4,https://macaulaylibrary.org/asset/461861471,7,5,,60,7,80,,M,Miguel,2023
461762451,41.6588,-87.9223,3,https://macaulaylibrary.org/asset/461762451,12,7,,61,7,80,,M,Miguel,2023
461716101,41.36373,-71.6699,4,https://macaulaylibrary.org/asset/461716101,12,7,,68,7,80,,M,Miguel,2023
461508141,39.43858,-76.2213,3,https://macaulaylibrary.org/asset/461508141,15,9,,85,7,80,,M,Miguel,2023
461326521,42.46591,-78.564,4,https://macaulaylibrary.org/asset/461326521,13,7,,75,7,80,,M,Miguel,2023
461289781,38.82111,-77.5469,5,https://macaulaylibrary.org/asset/461289781,12,7,,100,7,80,,M,Miguel,2023
461249681,44.54344,-70.1625,5,https://macaulaylibrary.org/asset/461249681,14,9,,78,7,80,,M,Miguel,2023
461235921,36.54502,-83.4642,5,https://macaulaylibrary.org/asset/461235921,16,7,,78,7,80,,M,Miguel,2023
459396691,42.4485888,-73.8923353,5,https://macaulaylibrary.org/asset/459396691,16,9,,108,10,120,,M,Zahra,2023
459321721,43.1340968,-85.193574,5,https://macaulaylibrary.org/asset/459321721,13,19,,110,10,120,,M,Zahra,2023
459252051,43.134101,-85.19332,4,https://macaulaylibrary.org/asset/459252051,14,18,,115,10,120,,M,Zahra,2023
459173361,43.1349828,-85.1930872,5,https://macaulaylibrary.org/asset/459173361,13,18,,110,10,120,,M,Zahra,2023
459126701,44.5201817,-76.2897943,3,https://macaulaylibrary.org/asset/459126701,NA,NA,,NA,NA,NA,The song is not recorded clearly so the measurements will not be accurate. ,M,Zahra,2023
459003421,32.763541,-94.477647,4,https://macaulaylibrary.org/asset/459003421,8,11,,152,10,120,,M,Zahra,2023
459003271,32.763541,-94.477647,3,https://macaulaylibrary.org/asset/459003271,10,7,,135,10,120,,M,Zahra,2023
458993391,41.1772327,-73.6762905,5,https://macaulaylibrary.org/asset/458993391,10,12,,103,10,120,,M,Zahra,2023
458933761,42.9396281,-87.8456685,3,https://macaulaylibrary.org/asset/458933761,12,16,,103,10,120,,M,Zahra,2023
458923271,41.7765606,-93.4040022,3,https://macaulaylibrary.org/asset/458923271,12,11,,150,10,120,,M,Zahra,2023
458814961,40.0957357,-75.6000137,4,https://macaulaylibrary.org/asset/458814961,11,16,,147,10,120,,M,Zahra,2023
458814961,40.0957357,-75.6000137,4,https://macaulaylibrary.org/asset/458814961,11,5,,100,8,96,,M,Alfredo,2023
458624411,44.219258,-69.94786,3,https://macaulaylibrary.org/asset/458624411,8,8,,130,8,96,,M,Alfredo,2023
458546911,41.9968637,-72.4012631,4,https://macaulaylibrary.org/asset/458546911,14,10,,115,8,96,,M,Alfredo,2023
458459241,43.8313207,-73.406589,4,https://macaulaylibrary.org/asset/458459241,19,8,,77,8,96,,M,Alfredo,2023
458459091,43.842692,-73.415286,3,https://macaulaylibrary.org/asset/458459091,11,8,,78,8,96,,M,Alfredo,2023
